H
function,hits,gene_id
Hypothetical protein,93,GL50803_17195
Hypothetical protein,31,GL50803_101278
Hypothetical protein,28,GL50803_17332
Hypothetical protein,25,GL50803_94463
Hypothetical protein,21,GL50803_103709
Hypothetical protein,19,GL50803_9183
Hypothetical protein,16,GL50803_16504
Hypothetical protein,11,GL50803_8528
Hypothetical protein,9,GL50803_41212
Hypothetical protein,8,GL50803_11354
Hypothetical protein,8,GL50803_17119
Hypothetical protein,8,GL50803_11380
Hypothetical protein,8,GL50803_8405
Hypothetical protein,7,GL50803_16653
Hypothetical protein,6,GL50803_5810
Hypothetical protein,5,GL50803_6464
hypothetical protein,5,GL50803_6933
Hypothetical protein,5,GL50803_10881
Hypothetical protein,4,GL50803_10708
Hypothetical protein,4,GL50803_94117
hypothetical protein,4,GL50803_16390
Hypothetical protein,4,GL50803_17172
Hypothetical protein,4,GL50803_17400
Hypothetical protein,3,GL50803_90434
Hypothetical protein,3,GL50803_4266
NH
function,hits,gene_id
Elongation factor 1-alpha,99,GL50803_112304
Cytosolic HSP70,90,GL50803_88765
"Pyruvate, phosphate dikinase",87,GL50803_9909
Elongation factor 2,84,GL50803_17570
Pyruvate-flavodoxin oxidoreductase,64,GL50803_114609
Acyl-CoA synthetase,62,GL50803_86511
Arginine deiminase,55,GL50803_112103
Pyruvate-flavodoxin oxidoreductase,55,GL50803_17063
Ornithine carbamoyltransferase,55,GL50803_10311
Beta tubulin,51,GL50803_101291
UPL-1,48,GL50803_9779
Alpha-tubulin,42,GL50803_103676
Acyl-CoA synthetase,41,GL50803_16667
"Kinase, NEK",41,GL50803_16824
Phosphoglycerate kinase,40,GL50803_90872
Acetyl-CoA synthetase,40,GL50803_13608
Alcohol dehydrogenase,39,GL50803_93358
14-3-3 protein,34,GL50803_6430
Peroxiredoxin 1,34,GL50803_14521
Transketolase,32,GL50803_9704
Beta adaptin,31,GL50803_21423
Bip,30,GL50803_17121
Alpha-7.3 giardin,29,GL50803_114787
Glycerol-3-phosphate dehydrogenase,29,GL50803_16125
Dynamin,27,GL50803_14373
Leucyl-tRNA synthetase,27,GL50803_8621
